age4,size,Variable,number,coverage,Jk,significanti2,significant22,missing
,,emp,90,73.3,100,26.7,26.7,0
,,estabs,90,73.3,100,26.7,26.7,0
,,estabs entry,64,92.2,100,9.4,9.4,0
,,job creation,90,81.1,100,21.1,21.1,0
,,job creation births,89,93.7,93.9,5.6,6.3,11.2
